2018-10-28 16:01:53,946 [Worker-37] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of Cognizant_Project
2018-10-28 16:01:53,946 [Worker-37] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for Cognizant_Project
2018-10-28 16:01:54,136 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-28 16:18:28,967 [Worker-31] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Cognizant_Project:Cognizant_Project:0.0.1-SNAPSHOT @ C:\Users\vogue_000\Desktop\Cognizant\Cognizant_Project\pom.xml.
2018-10-28 16:18:38,363 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-28 16:18:38,478 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\vogue_000\Desktop\Cognizant\Cognizant_Project\src\main\resources
2018-10-28 16:18:38,481 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-28 16:18:38,486 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\vogue_000\Desktop\Cognizant\Cognizant_Project\src\test\resources
2018-10-28 16:18:38,487 [Worker-31] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of Cognizant_Project
2018-10-28 16:18:38,487 [Worker-31] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for Cognizant_Project
